Experiment_ID,Shift,Num_Operations,Initial_Lateness_Deviation,Final_Lateness_Deviation,Improvement,Improvement_Percent,Solve_Time_Seconds,Memory_MB,Memory_Used_MB
21,1,150,6825.0,2115.0,4710.0,69.01,558.51,158.88,63.06
21,2,182,43559.5,4785.0,38774.5,89.02,1126.52,201.03,42.15
21,3,242,75140.5,5997.0,69143.5,92.02,2605.61,345.73,144.7
21,4,342,179243.0,10306.5,168936.5,94.25,7687.35,717.62,371.89
21,5,255,338673.0,25451.5,313221.5,92.48,3239.78,713.68,-3.94
21,6,154,206368.0,78797.0,127571.0,61.82,707.78,695.96,-17.72
21,7,201,97552.5,46363.5,51189.0,52.47,1487.36,686.12,-9.84
21,8,280,276932.0,70328.0,206604.0,74.6,4122.72,698.67,12.55
21,9,206,510856.0,188340.0,322516.0,63.13,1733.89,698.67,0.0
21,10,185,168577.5,97286.5,71291.0,42.29,1180.5,691.04,-7.62
21,11,193,299319.5,143250.5,156069.0,52.14,1362.88,690.06,-0.98
21,12,207,301198.5,159679.5,141519.0,46.99,1687.23,626.43,-63.63
21,13,190,360169.5,214655.0,145514.5,40.4,1322.28,626.43,0.0
21,14,180,243860.0,171174.5,72685.5,29.81,1091.16,626.43,0.0
21,15,228,382564.0,228339.5,154224.5,40.31,2207.52,626.43,0.0
21,16,161,447134.5,303825.0,143309.5,32.05,833.61,626.43,0.0
21,17,173,242836.0,198265.0,44571.0,18.35,962.01,626.43,0.0
21,18,184,390886.0,271523.0,119363.0,30.54,1200.65,626.43,0.0
21,19,121,322399.5,271826.0,50573.5,15.69,344.26,626.43,0.0
21,20,150,207007.5,182347.0,24660.5,11.91,575.89,626.43,0.0
