Experiment_ID,Shift,Num_Operations,Initial_Makespan,Final_Makespan,Improvement,Improvement_Percent,Solve_Time_Seconds
11,1,150,2487,1433,1054,42.38037796542019,1594.89
11,2,170,2506,1509,997,39.78451715881883,2363.23
11,3,238,3493,2243,1250,35.785857429144,6472.5
11,4,346,4437,2748,1689,38.066260987153484,20422.15
11,5,253,3450,1876,1574,45.6231884057971,7705.1
11,6,154,2403,1324,1079,44.90220557636288,1730.6
11,7,201,3023,1874,1149,38.00860072775389,3921.22
11,8,280,3831,2295,1536,40.09397024275646,10981.75
11,9,206,2329,1488,841,36.109918419922714,4348.19
11,10,183,2270,1595,675,29.735682819383257,3058.28
11,11,192,3331,1886,1445,43.38036625637947,3429.62
11,12,202,2878,1640,1238,43.015983321751214,3963.68
11,13,179,2647,1545,1102,41.632036267472614,2785.88
11,14,181,2949,1733,1216,41.234316717531364,2854.43
11,15,227,2876,1878,998,34.7009735744089,5608.1
11,16,172,2358,1387,971,41.17896522476675,2453.64
11,17,171,2652,1658,994,37.48114630467572,2413.94
11,18,177,2797,1570,1227,43.86843046120843,2660.51
11,19,121,1875,1124,751,40.053333333333335,850.88
11,20,150,2317,1591,726,31.333621061717736,1667.49
