Experiment_ID,Shift,Num_Operations,Initial_Lateness_Deviation,Final_Lateness_Deviation,Improvement,Improvement_Percent,Solve_Time_Seconds,Memory_MB,Memory_Used_MB
19,1,150,5812.0,1217.0,4595.0,79.06,590.21,157.7,63.09
19,2,188,52949.5,3116.5,49833.0,94.11,1336.19,210.89,53.19
19,3,247,77999.5,6740.0,71259.5,91.36,3014.06,360.12,149.23
19,4,343,182968.5,8152.5,174816.0,95.54,8175.21,387.68,27.56
19,5,266,362326.5,26845.5,335481.0,92.59,3909.03,368.98,-16.73
19,6,166,261578.0,88379.0,173199.0,66.21,929.1,363.07,-5.91
19,7,200,94029.5,44727.0,49302.5,52.43,1383.97,358.16,-4.92
19,8,292,279960.5,64518.0,215442.5,76.95,4705.81,521.42,163.26
19,9,205,554430.5,271006.0,283424.5,51.12,1747.75,483.56,-37.86
19,10,182,134694.0,81435.5,53258.5,39.54,1113.37,477.65,-5.91
19,11,202,352382.0,164171.0,188211.0,53.41,1601.79,470.76,-6.89
19,12,201,256124.0,143920.5,112203.5,43.81,1553.37,469.78,-0.98
19,13,182,325930.0,193175.0,132755.0,40.73,1173.04,323.34,-146.44
19,14,182,238398.5,161411.0,76987.5,32.29,1117.48,323.34,0.0
19,15,227,362539.5,223084.5,139455.0,38.47,2176.13,323.34,0.0
19,16,173,497662.5,303878.0,193784.5,38.94,1008.27,323.34,0.0
19,17,172,220339.0,183150.0,37189.0,16.88,914.61,323.34,0.0
19,18,180,361235.0,264391.0,96844.0,26.81,1115.47,323.34,0.0
19,19,119,284201.5,233406.0,50795.5,17.87,320.38,323.34,0.0
19,20,150,210936.5,182705.0,28231.5,13.38,570.32,323.34,0.0
