Experiment_ID,Shift,Num_Operations,Initial_Makespan,Final_Makespan,Improvement,Improvement_Percent,Solve_Time_Seconds
9,1,150,2710,1503,1207,44.53874538745388,505.18
9,2,169,2204,1660,544,24.682395644283122,722.73
9,3,239,3326,2127,1199,36.04930847865304,2043.62
9,4,342,4207,2545,1662,39.505585928214884,6044.92
9,5,265,3268,1894,1374,42.04406364749082,2824.83
9,6,151,2229,1441,788,35.35217586361597,508.86
9,7,200,3314,1796,1518,45.805672902836456,1145.43
9,8,279,3622,2212,1410,38.92876863611264,3105.31
9,9,199,2232,1452,780,34.946236559139784,1118.86
9,10,181,2699,1773,926,34.30900333456836,843.33
9,11,190,2681,1579,1102,41.104065647146584,981.11
9,12,206,2933,1690,1243,42.37981588816911,1253.12
9,13,185,2367,1578,789,33.33333333333333,908.64
9,14,179,2677,1706,971,36.27194620844229,819.44
9,15,227,3133,1847,1286,41.046919885094155,1674.37
9,16,169,2287,1460,827,36.16090948841277,685.69
9,17,172,2549,1822,727,28.520988622989407,721.11
9,18,180,2664,1759,905,33.97147147147147,834.02
9,19,112,1564,1059,505,32.289002557544755,199.16
9,20,150,3015,1674,1341,44.47761194029851,484.95
