Experiment_ID,Shift,Num_Operations,Initial_Makespan,Final_Makespan,Improvement,Improvement_Percent,Solve_Time_Seconds
10,1,150,2249,1502,747,33.214762116496225,1317.73
10,2,166,2573,1554,1019,39.60357559269335,1813.05
10,3,237,3597,2174,1423,39.56074506533222,5167.51
10,4,340,4068,2616,1452,35.693215339233035,15889.92
10,5,254,3130,1818,1312,41.91693290734824,6751.1
10,6,148,2072,1282,790,38.12741312741313,1357.33
10,7,200,3023,1918,1105,36.553092954019185,3344.24
10,8,286,3455,2471,984,28.48046309696093,9557.93
10,9,209,1984,1443,541,27.268145161290324,3558.12
10,10,183,2811,1859,952,33.86695126289577,2405.66
10,11,191,2493,1658,835,33.49378259125552,2730.12
10,12,200,2699,1752,947,35.08706928492034,3134.49
10,13,178,2161,1440,721,33.36418324849607,2214.35
10,14,176,3095,1816,1279,41.32471728594507,2143.81
10,15,229,3340,1879,1461,43.74251497005988,4719.49
10,16,170,2378,1441,937,39.40285954583684,1910.94
10,17,170,2804,1765,1039,37.05420827389443,1917.33
10,18,182,2746,1601,1145,41.69701383831027,2379.35
10,19,115,1996,1079,917,45.94188376753507,595.34
10,20,150,2567,1552,1015,39.540319439033894,1325.61
