Experiment_ID,Avg_Improvement_%,Median_Improvement_%,Std_Improvement_%,Total_Solve_Time_s,Avg_Solve_Time_s,Total_Shifts,Avg_Initial_Lateness,Avg_Final_Lateness,Total_Reduction,Peak_Memory_MB,tabu_allowed,max_iters,patience,top_k,w_t,w_e,w_dev
16,72.21000000000001,72.21000000000001,1.230365799264589,112.05000000000001,56.025000000000006,2,27133.0,7357.0,39552.0,128.13,25,20,40,60,0.5,0.5,0.5
17,84.535,84.535,11.660190821766165,1796.76,898.38,2,25501.5,2431.0,46141.0,190.46,25,300,40,60,0.5,0.5,0.5
18,77.655,77.655,20.55559412909294,1702.3600000000001,851.1800000000001,2,24897.5,2591.0,44613.0,193.31,25,300,40,60,0.5,0.5,0.5
19,53.075,47.465,27.16228761391523,38455.56,1922.7779999999998,20,255824.85,132471.45,2467068.0,521.42,25,300,40,60,0.5,0.5,0.5
20,49.42649999999999,46.57,24.694339917223306,11761.48,588.074,20,250905.325,136504.025,2288026.0,437.55,25,100,40,60,0.5,0.5,0.5
21,52.464,49.565,26.36943493796119,36037.51,1801.8755,20,255055.1,133732.75,2426447.0,717.62,80,300,20,20,0.5,0.5,0.5
22,50.564,46.245000000000005,25.81386029167073,97552.80999999997,4877.640499999999,20,254278.025,134022.65,2405107.5,640.02,80,800,20,20,0.5,0.5,0.5
