Experiment_ID,Shift,Num_Operations,Initial_Makespan,Final_Makespan,Improvement,Improvement_Percent,Solve_Time_Seconds
14,1,150,2679,1759,920,34.341172079134004,31.27
14,2,173,2595,1782,813,31.32947976878613,48.19
14,3,235,3452,2363,1089,31.546929316338357,120.37
14,4,337,4280,2924,1356,31.68224299065421,356.14
14,5,260,3180,2155,1025,32.23270440251572,163.78
14,6,151,2124,1420,704,33.14500941619586,31.71
14,7,200,2839,1986,853,30.04579077139838,74.18
14,8,284,3476,2633,843,24.252013808975832,212.39
14,9,212,2497,1563,934,37.404885863035645,89.03
14,10,188,2594,1777,817,31.495759444872785,61.13
14,11,189,2492,1880,612,24.558587479935795,63.25
14,12,206,2755,1874,881,31.978221415607987,82.03
14,13,180,2720,1707,1013,37.24264705882353,54.2
14,14,181,2915,1912,1003,34.40823327615781,55.08
14,15,233,2872,2015,857,29.83983286908078,118.37
14,16,159,2182,1397,785,35.97616865261229,37.22
14,17,170,2961,1767,1194,40.3242147922999,45.29
14,18,184,2756,1909,847,30.732946298984036,58.66
14,19,124,1885,1175,710,37.6657824933687,18.0
14,20,150,2234,1595,639,28.603401969561325,31.79
14,21,146,2221,1430,791,35.61458802341288,29.39
14,22,192,2591,1864,727,28.05866460825936,66.49
14,23,161,1967,1459,508,25.826131164209453,39.32
14,24,160,2582,1561,1021,39.542989930286595,38.03
14,25,216,3177,2167,1010,31.790997796663518,93.93
14,26,244,3297,2255,1042,31.604488929329694,135.46
14,27,209,2845,1854,991,34.83304042179262,85.19
14,28,167,2312,1556,756,32.69896193771626,43.86
14,29,270,4041,2831,1210,29.94308339519921,182.06
14,30,255,3606,2310,1296,35.94009983361065,154.48
14,31,213,3366,2184,1182,35.115864527629235,90.35
14,32,287,3416,2618,798,23.36065573770492,217.98
14,33,252,3151,2182,969,30.75214217708664,149.14
14,34,182,2264,1692,572,25.265017667844525,56.38
14,35,203,2858,2121,737,25.787263820853745,78.48
14,36,178,2357,1548,809,34.32329232074671,52.76
14,37,170,2841,1754,1087,38.26117564237944,45.85
14,38,175,2619,1664,955,36.46429935089729,50.0
14,39,139,1931,1361,570,29.51838425686173,25.2
14,40,190,3308,1882,1426,43.10761789600968,63.89
