Experiment_ID,Shift,Num_Operations,Initial_Lateness_Deviation,Final_Lateness_Deviation,Improvement,Improvement_Percent,Solve_Time_Seconds,Memory_MB,Memory_Used_MB
22,1,150,5778.0,2316.0,3462.0,59.92,1500.17,160.49,65.23
22,2,174,34531.0,6012.0,28519.0,82.59,2620.37,193.96,33.47
22,3,237,65531.0,5545.5,59985.5,91.54,6567.64,315.13,121.17
22,4,342,194823.5,10272.5,184551.0,94.73,20547.23,640.02,324.89
22,5,268,370138.0,28401.5,341736.5,92.33,10112.63,640.02,0.0
22,6,156,226787.5,85878.5,140909.0,62.13,1941.48,620.33,-19.69
22,7,200,92223.5,50308.0,41915.5,45.45,3554.53,389.5,-230.83
22,8,288,298559.0,70184.5,228374.5,76.49,12110.97,397.32,7.82
22,9,208,561008.0,253194.5,307813.5,54.87,4831.91,393.38,-0.98
22,10,184,146964.0,93497.5,53466.5,36.38,3085.01,392.4,-0.98
22,11,201,322129.5,154804.0,167325.5,51.94,4232.78,389.45,-2.95
22,12,205,310414.0,164392.5,146021.5,47.04,4387.99,389.45,0.0
22,13,178,299095.0,180727.0,118368.0,39.58,2918.34,389.45,0.0
22,14,177,206155.5,153918.0,52237.5,25.34,2807.31,389.45,0.0
22,15,223,339955.5,221312.5,118643.0,34.9,5624.97,389.45,0.0
22,16,167,459940.5,287243.0,172697.5,37.55,2466.6,389.45,0.0
22,17,172,231956.5,190379.0,41577.5,17.92,2499.12,321.04,-68.41
22,18,184,374836.0,272051.5,102784.5,27.42,3229.18,321.04,0.0
22,19,124,335058.5,267737.5,67321.0,20.09,982.43,321.04,0.0
22,20,150,209676.0,182277.5,27398.5,13.07,1532.15,321.04,0.0
